rogue,Dot11EltCountry,RSNVersion,rates,CapabilitiesMin_MPDCU_Start_Spacing,DSSS_CCK,Max_A_MSDU,Rx_STBC,Tx_STBC,Short_GI_40Mhz,Short_GI_20Mhz,SM_Power_Save,Supported_Channel_Width,LDPC_Coding_Capability,Min_MPDCU_Start_Spacing,Max_A_MPDU_Length_Exponent,TX_MCS_Set_Defined,RX_MSC_Bitmask,Compressed_Steering_n_Beamformer_Antennas_Supported,Receive_NDP,entropy
-1,1,1,4,4,0,1,1,0,0,1,3,0,1,4,3,0,1,2,0,2.8017832255087787
-1,1,1,8,5,0,0,0,0,0,1,3,0,1,5,3,0,1,0,0,2.8000426176806745
1,0,1,8,5,1,0,1,1,1,1,3,1,0,5,3,0,1,0,0,2.801259560697503
1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.7997739243205695
1,1,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,0,0,2.799638544240621
1,1,1,8,5,0,0,0,0,1,1,3,1,1,5,3,1,1,3,0,2.800407330217916
1,1,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8001379404998517
1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.798635722152848
1,0,1,8,5,1,0,0,0,1,1,3,1,0,5,3,0,1,0,0,2.799051105333768
-1,0,1,8,0,0,0,1,0,0,1,3,0,1,0,3,1,1,0,0,2.7957991368209236
1,0,0,8,6,1,1,0,1,1,1,3,0,0,6,3,0,1,0,0,2.7967236009812004
1,1,1,8,4,0,1,1,1,0,1,3,0,1,4,3,0,1,3,1,2.79711290119111
1,1,1,8,0,1,1,1,1,0,0,3,1,1,0,3,0,1,3,1,2.797951368611266
-1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.801976487250017
1,1,1,8,7,0,1,1,1,0,1,3,0,0,7,3,0,1,0,0,2.803559809767748
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.800185337604855
1,0,1,8,6,0,0,0,0,0,0,3,0,0,6,3,1,1,0,0,2.7998039978697706
-1,0,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.7995724676869767
1,1,0,8,0,0,1,0,0,0,1,3,0,1,0,3,1,1,0,0,2.7964344069291425
1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.7953645571555548
-1,0,1,8,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.7948675129369214
-1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7988187838567713
1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.795576919079444
-1,1,1,4,5,0,1,1,1,0,1,3,0,1,5,3,0,1,2,0,2.797557095526038
1,0,1,8,5,1,0,1,1,1,1,3,1,0,5,3,0,1,0,0,2.7984208793659304
-1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.798303507671462
1,1,1,8,0,0,1,1,1,0,1,3,0,1,0,3,1,1,0,0,2.7964667669890177
-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8003173177293736
-1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8000087982360897
-1,0,1,8,6,1,0,0,0,1,0,3,1,0,6,3,0,1,0,0,2.8001116325071798
1,1,1,8,6,0,0,1,0,0,0,3,1,0,6,3,1,1,0,0,2.800992810006413
-1,1,1,8,5,0,0,1,1,1,1,3,0,0,5,3,0,1,0,0,2.7999922822394954
1,1,0,8,5,1,0,1,0,1,1,3,1,0,5,3,0,1,0,0,2.802260529053892
-1,0,1,4,0,0,0,1,0,0,1,3,0,0,0,3,0,1,0,0,2.799256538910353
1,1,1,8,6,0,0,1,1,1,1,3,1,1,6,3,1,1,0,0,2.800159076048709
-1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.798942821179464
1,1,1,8,6,0,0,1,0,0,0,3,1,0,6,3,1,1,0,0,2.799700856046558
-1,1,1,8,0,0,1,1,1,0,1,3,0,1,0,3,1,1,0,0,2.797897759961426
-1,1,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,3,1,2.798690654177494
1,1,1,2,5,0,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8003154457093653
-1,1,1,8,5,0,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8002486829212194
1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.799038711005689
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7986588649190947
-1,1,1,8,6,0,0,1,1,0,1,3,0,0,6,3,1,1,0,0,2.798810865900793
-1,0,1,8,6,1,1,0,1,0,1,3,0,0,6,3,0,1,0,0,2.7989183321157953
1,1,1,8,7,0,1,1,1,0,1,3,0,0,7,3,0,1,0,0,2.8002311931783304
1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.7990223320104075
-1,1,1,8,6,0,0,1,1,0,1,3,0,0,6,3,1,1,0,0,2.799083516835466
-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8029900748117114
1,1,1,8,7,1,1,1,1,1,1,3,1,0,7,3,0,1,0,0,2.806000984534774
-1,1,1,8,5,0,0,0,0,0,1,3,0,1,5,3,0,1,0,0,2.8046248444057365
1,1,0,8,5,0,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8050800049715807
1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8043787773880964
1,1,0,8,5,0,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8047716523232205
-1,1,1,8,0,0,1,1,1,1,1,3,1,0,0,3,1,1,0,0,2.8032555952787126
1,1,1,8,7,1,1,1,1,1,1,3,1,0,7,3,0,1,0,0,2.806002601050588
-1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.805685629988104
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8052561860052436
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.804808848507952
-1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.8044738054330103
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8034927274700134
1,1,1,8,5,1,0,1,1,1,1,0,1,1,5,3,0,1,0,0,2.804413291702136
1,1,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8040882507019993
-1,1,1,8,6,0,0,1,1,0,1,3,0,1,6,3,0,1,0,0,2.8040838911699284
-1,1,1,8,5,0,0,0,0,0,1,3,0,1,5,3,0,1,0,0,2.8027544787746796
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.802280837849533
-1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8014214442820666
1,0,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,0,0,2.801356353892729
1,1,1,8,6,0,0,1,1,0,1,3,0,1,6,3,1,1,0,0,2.802146488540825
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8014493147902657
-1,0,1,8,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.801253661732807
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8007758385396273
-1,1,1,4,4,0,1,1,0,0,1,3,0,1,4,3,0,1,0,0,2.801003171733295
1,1,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,0,0,2.80064808673146
1,1,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8002720830356465
-1,1,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.8003049210966533
1,0,1,8,7,1,0,0,0,1,1,3,1,0,7,3,0,1,0,0,2.802989030441907
-1,1,0,8,6,0,0,1,1,1,1,3,1,1,6,3,1,1,0,0,2.804233845905705
-1,0,1,4,4,0,0,1,1,0,1,3,0,1,4,3,0,1,2,0,2.806055989605544
-1,0,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.8060018859683336
1,1,1,8,5,1,0,1,1,1,1,3,1,1,5,3,0,1,3,1,2.805976638076749
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8054826910855954
-1,1,1,4,4,0,1,1,1,0,1,3,0,1,4,3,0,1,2,0,2.807322330388858
-1,0,1,4,0,0,0,1,0,0,1,3,0,0,0,3,0,1,0,0,2.8050260684018937
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8045362442643644
